sentiment,text,user
positive,"RT @robintheredwon1: Hello! I'm Robin, I'm a smaller artist [mostly hobbyist], and I like drawing from animes and movies and such. I genuin…",thorkylo
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",chopppak
positive,RT @kalyanram94: Win or Lose..\nPolitics or Movies..\nHit or Flop...\nAlways with @PawanKalyan ❤️❤️❤️❤️\n\n#AdvanceHBDPawanKalyan https://t.co/g…,SubrahmanyamAi1
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",Sickassemm
neutral,@BounPrem_TH @LongKhongSeries @premspacefamily @BesideBoun @bb0un @Prem_space @fivestar_movies 📌📌📌📌,Thanapo76074565
neutral,RT @DallasL60050018: @GregCowboys @Montejp231 @LionCuban @jeolmoz2 @Realmommabear @5280Keith @Mossimo77 @lori_stella75 @chili227 I remember…,GregCowboys
neutral,"RT @TeamPspkBlr: Leave about Politics, in his movies also he is always there to inspire the Youth!\n- @PawanKalyan\n\n#AdvanceHBDPawanKalyan h…",Ganesh48373433
neutral,RT @TeamPowerSena: The Video glimpse that replicates Team PowerSena. and how we intend to work on this platform for betterment of @Janasena…,nagasai_royal
positive,"RT @SerebiiOTD: On this day in 2018, 2 years ago, the 21st movie ,The Power of Us, known in Japan as \Everyone's Story\"" was first released…""",ShinyHuntMystic
positive,RT @PawanKalyanFan: Share your First Day First movie experience of our @PawanKalyan movies..\n\nFor me i enjoyed the most watching Gabbar Sin…,AjithPawanFC
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",elena_berisha
negative,RT @thekillakay_: How Black BET Movies Be Ending 😂😂😂😂😂😂😂😂😂😭😭 https://t.co/ypnC4G3kbh,LOVERBOIJIMMIE
positive,"RT @VDTrendsOffl: Kingmaker In Films,\nFirst day records\nto Industry hit.\n\nGaining A millions of supporters\nNot only movies\nIn politics too…",7514Bharath
positive,RT @SatishPappula8: Faction movies come to Tollywood Life\nwith a love story and conqueres a industrial hit.\nIt only possible for u Usthaad.…,Bannu_Kalyan
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",sailujworld
positive,"RT @ImReallyMelody: She was in so many of my favorite movies growing up, Rest In Peace Kelly Preston https://t.co/MYL3EFdL8j",PrincessNaaizee
